Mahindra,ONGC,Sun Pharma,Vedanta Ltd,Wipro,Cipla,Eicher,Hero,Infosys,ITC
622.049988,208.533005,1161.400024,200.550003,233.625,713.450012,16099.900391,2581.199951,559.125,236
605.025024,212.399994,1122.199951,207.350006,227.625,695.400024,16240,2516.199951,555.5,235.233002
616,219.667007,1090,204,223.518997,679,15850,2429.800049,545.013,233.667007
609,219.899994,1048,210.199997,220.069,679.799988,15310,2411,544,234.733002
595,215.067001,951,208.5,213,660,14900,2316,537,227.899994
597.5,214.033005,963,211.199997,210.75,655,14400,2340,537.763,226.667007
610.5,210,980,212,205.856003,660,14510,2412.699951,537.174988,228.932999
598.625,206.667007,946,210,200.830994,664.450012,14742,2380.449951,533.974976,228
584.025024,211.966995,951.5,205.899994,198.225006,638.799988,14555,2360,500,232.600006
583.349976,206,922,208.399994,199.875,625,14750,2309,495.5,229.932999
591.5,205.033005,934.200012,208.850006,199.875,632.650024,15210,2356.300049,490.225006,223.367004
585,204.567001,926,203.949997,201.393997,626.5,15202,2360.100098,490,218.533005
575.5,204.067001,949,212,202.162994,642,15441.599609,2340,489.875,215.600006
601,220.667007,954.900024,212,204.393997,674.599976,15333,2389.550049,500,219.067001
589.625,226.399994,957.549988,226,203.906006,662,15520,2353,493.75,217.332993
581.325012,220,933,218.399994,199.125,636,15075,2330.100098,480.5,212.332993
588,213.966995,933.349976,220,202.912994,633,14930,2309,489.5,217.033005
591.5,211.266998,950.5,222,203.606003,667.450012,15970,2310,491.25,220
597.125,213.399994,962.25,229.850006,203.438004,665.25,16950,2398,498.412994,218.332993
594.5,208.100006,952.900024,221.850006,200.625,665,17455,2486.800049,487.937988,217.899994
603.950012,208.067001,952.799988,217,203.550003,679.349976,18000,2500,490,218
615,210.600006,927.400024,215.699997,201,684.849976,18177,2537.949951,483.75,216.733002
622.474976,213.533005,947.400024,210.75,202.125,683.299988,18724.300781,2518,492.5,218.199997
631.825012,212.899994,956.950012,210.699997,204.375,683.5,18615,2520,496.825012,221.167007
626.924988,211.332993,961.400024,214.149994,208.031006,683.900024,18229,2590,510,221.667007
627.5,210.932999,966.099976,216.649994,212.25,688.450012,18500,2580,512.224976,222
627.5,215.667007,978,209,210.205994,676,18400,2602.100098,511,219.332993
627.825012,216,1003,206,210.375,676.400024,18600,2603.899902,512.625,214.300003
